Trajectories
100
,,Patient 1:MDG,,,Patient 1:MAG,,,Patient 1:EAG,,,Patient 1:EDG,,,Patient 1:ED,,,Patient 1:EAD,,,Patient 1:MDD,,,Patient 1:MAD,,,Patient 1:FRD,,,Patient 1:FRG,,,Patient 1:FD,,,Patient 1:FAD,,,Patient 1:FAG,,,Patient 1:T,,,Patient 1:DH,,,Patient 1:F,,,Patient 1:DB,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
487,0,-590.411,-359.274,765.281,,,,,,,-238.34,-668.192,1102.08,89.3641,-795.495,1124.52,120.437,-717.043,1112.52,,,,585.49,-912.828,821.737,,,,,,,,,,,,,,,,-49.6237,-606.594,1410.09,,,,,,,-101.962,-807.682,817.714
488,0,-591.122,-359.819,765.749,,,,,,,-238.527,-668.238,1102.12,89.4289,-795.482,1124.5,120.12,-716.726,1112.29,,,,585.552,-912.731,821.813,,,,,,,,,,,,,,,,-45.9168,-604.217,1409.33,,,,,,,,,
489,0,-591.371,-359.992,765.901,,,,,,,-238.63,-668.295,1102.18,89.4504,-795.477,1124.55,120.02,-716.702,1112.26,,,,585.461,-912.544,821.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,0,-591.307,-359.944,765.939,,,,,,,-238.767,-668.343,1102.3,89.4888,-795.39,1124.52,120.269,-716.81,1112.43,,,,585.46,-912.282,821.856,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,0,-591.189,-359.794,765.893,,,,,,,-238.749,-668.284,1102.34,89.5585,-795.362,1124.52,120.152,-716.626,1112.31,,,,585.551,-911.999,822.009,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,0,-591.146,-359.761,765.867,,,,,,,-238.665,-668.305,1102.35,89.5357,-795.365,1124.49,120.219,-716.687,1112.37,,,,585.546,-911.933,822.022,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,0,-591.298,-359.919,765.98,,,,,,,-238.544,-668.194,1102.35,89.5717,-795.282,1124.49,120.11,-716.543,1112.26,,,,585.503,-911.817,822.088,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,0,-591.13,-359.838,765.767,,,,,,,-238.37,-668.123,1102.21,89.5735,-795.199,1124.52,120.042,-716.485,1112.28,,,,585.552,-911.683,822.154,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,0,-591.107,-359.884,765.693,,,,,,,-238.317,-668.026,1102.14,89.5663,-795.146,1124.52,120.186,-716.537,1112.4,,,,585.528,-911.611,822.191,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,0,-591.119,-359.932,765.654,,,,,,,-238.237,-667.97,1102.08,89.5583,-795.047,1124.49,120.115,-716.401,1112.35,,,,585.523,-911.561,822.232,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,0,-591.114,-359.85,765.595,,,,,,,-238.289,-667.964,1102.19,89.5827,-795.017,1124.58,119.984,-716.363,1112.15,,,,585.498,-911.383,822.258,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,0,-591.264,-359.974,765.648,,,,,,,,,,89.6491,-794.992,1124.56,120.02,-716.276,1112.17,,,,585.479,-911.363,822.247,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,0,-591.345,-360.033,765.702,,,,,,,,,,89.5826,-794.856,1124.54,120.047,-716.235,1112.22,,,,585.544,-911.246,822.317,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,0,-591.439,-360.068,765.638,,,,,,,,,,89.5756,-794.782,1124.56,120.017,-716.184,1112.25,,,,585.61,-911.167,822.351,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,0,-591.511,-360.162,765.613,,,,,,,,,,89.5276,-794.743,1124.58,119.98,-716.151,1112.25,,,,585.679,-911.045,822.421,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,0,-591.691,-360.278,765.613,,,,,,,,,,89.6219,-794.693,1124.61,119.897,-716.017,1112.27,,,,585.695,-910.936,822.421,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,0,-591.732,-360.277,765.573,,,,,,,,,,89.5925,-794.618,1124.66,120,-716.05,1112.32,,,,585.696,-910.836,822.511,,,,,,,,,,,,,,,,,,,,,,,,,-101.942,-807.473,817.986
504,0,-592.095,-360.561,765.727,,,,,,,,,,89.5922,-794.615,1124.67,120.63,-716.183,1112.59,,,,585.664,-910.764,822.542,,,,,,,,,,,,,,,,,,,,,,,,,-102.482,-807.628,818.438
505,0,-592.409,-360.795,765.91,,,,,,,,,,89.5418,-794.516,1124.7,120.112,-715.916,1112.45,,,,585.67,-910.668,822.63,,,,,,,,,,,,,,,,,,,,,,,,,-102.942,-807.862,818.688
506,0,-592.587,-360.81,766.009,,,,,,,,,,89.5954,-794.489,1124.75,119.975,-715.897,1112.42,,,,585.734,-910.59,822.654,,,,,,,,,,,,,,,,,,,,,,,,,-103.203,-807.996,818.826
