Trajectories
100
,,Patient 1:MDG,,,Patient 1:MAG,,,Patient 1:EAG,,,Patient 1:EDG,,,Patient 1:ED,,,Patient 1:EAD,,,Patient 1:MDD,,,Patient 1:MAD,,,Patient 1:FRD,,,Patient 1:FRG,,,Patient 1:FD,,,Patient 1:FAD,,,Patient 1:FAG,,,Patient 1:T,,,Patient 1:DH,,,Patient 1:F,,,Patient 1:DB,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
432,0,-1564.82,-30.889,781.254,-1472.43,-35.7472,793.508,-1543.87,-441.567,1047.85,-1615.64,-460.941,1065.78,-1533.72,-821.532,1054.65,,,,-1323.83,-1247.34,815.358,-1420.39,-1255.1,790.747,,,,,,,,,,,,,,,,-1435.58,-610.719,1351.97,-1674.41,-642.124,826.55,,,,,,
433,0,-1564.77,-30.9748,781.3,-1472.44,-35.7507,793.511,-1543.82,-441.576,1047.85,-1615.58,-460.996,1065.76,-1533.64,-821.586,1054.68,,,,,,,-1420.24,-1255.02,790.922,,,,,,,,,,,,,,,,-1435.5,-610.705,1351.96,-1674.34,-642.106,826.54,,,,,,
434,0,-1564.6,-30.9921,781.184,-1472.32,-35.8273,793.472,-1543.7,-441.533,1047.8,-1615.57,-461.065,1065.82,-1533.55,-821.561,1054.65,,,,,,,-1420.04,-1254.98,790.974,,,,,,,,,,,,,,,,-1435.5,-610.805,1351.95,-1674.27,-642.106,826.531,,,,,,
435,0,-1564.52,-30.9899,781.169,-1472.25,-35.8722,793.425,-1543.88,-442.055,1048.09,-1615.57,-461.025,1065.84,-1533.55,-821.625,1054.71,,,,,,,-1419.75,-1254.9,791.113,,,,,,,,,,,,,,,,-1435.42,-610.895,1351.94,-1674.22,-642.176,826.662,,,,,,
436,0,-1564.49,-31.1515,781.194,-1472.22,-35.9105,793.309,-1543.86,-442.098,1048.09,-1615.52,-461.057,1065.88,-1533.44,-821.636,1054.7,,,,,,,-1419.36,-1254.81,791.22,,,,,,,,,,,,,,,,-1435.29,-610.922,1351.91,-1674.18,-642.2,826.68,,,,,,
437,0,-1564.45,-31.286,781.184,-1472.15,-36.0416,793.189,-1543.78,-442.094,1048.1,-1615.46,-461.07,1065.91,-1533.37,-821.632,1054.7,,,,,,,-1419,-1254.78,791.318,,,,,,,,,,,,,,,,-1435.23,-610.937,1351.88,-1674.09,-642.183,826.663,,,,,,
438,0,-1564.39,-31.3123,781.128,-1472,-36.0509,792.858,-1543.71,-442.118,1048.06,-1615.42,-461.01,1065.83,-1533.35,-821.717,1054.69,,,,,,,-1418.64,-1254.66,791.391,,,,,,,,,,,,,,,,-1435.2,-611.004,1351.9,-1674.22,-642.354,826.837,,,,,,
439,0,-1564.33,-31.3739,781.072,-1471.86,-36.1907,792.573,-1543.71,-442.117,1048.06,-1615.42,-461.006,1065.83,-1533.24,-821.734,1054.69,,,,,,,,,,,,,,,,,,,,,,,,,-1435.09,-611.019,1351.91,-1674.16,-642.345,826.819,,,,,,
440,0,-1564.26,-31.4116,781.007,-1471.75,-36.3398,792.314,-1543.74,-442.165,1048.08,-1615.4,-461.076,1065.86,-1533.14,-821.687,1054.65,,,,,,,,,,,,,,,,,,,,,,,,,-1435,-611.02,1351.84,-1674.07,-642.198,826.753,,,,,,
441,0,-1564.16,-31.2874,780.736,-1471.71,-36.5257,792.22,-1543.66,-442.129,1048.06,-1615.39,-461.07,1065.86,-1533.06,-821.768,1054.64,,,,,,,,,,,,,,,,,,,,,,,,,-1434.92,-611.034,1351.8,-1674.08,-642.254,826.733,,,,,,
442,0,-1564.04,-31.305,780.598,-1471.66,-36.7554,792.225,-1543.68,-442.17,1048.08,-1615.43,-461.13,1065.96,-1532.98,-821.755,1054.61,,,,,,,,,,,,,,,,,,,,,,,,,-1434.8,-610.978,1351.78,-1674.12,-642.379,826.832,,,,,,
443,0,-1564.04,-31.3888,780.484,-1471.61,-36.7906,792.068,-1543.69,-442.157,1048.11,-1615.47,-461.201,1066.01,-1532.92,-821.788,1054.58,,,,,,,,,,,,,,,,,,,,,,,,,-1434.67,-610.961,1351.78,-1674.17,-642.451,826.903,,,,,,
444,0,-1563.99,-31.4668,780.468,-1471.57,-36.8828,791.984,-1543.74,-442.166,1048.08,-1615.47,-461.189,1065.99,-1532.85,-821.845,1054.63,,,,,,,,,,,,,,,,,,,,,,,,,-1434.65,-610.95,1351.78,-1674.2,-642.525,826.899,,,,,,
445,0,-1564,-31.5299,780.4,-1471.65,-37.0545,791.924,-1543.74,-442.167,1048.08,-1615.46,-461.171,1065.96,-1532.74,-821.752,1054.49,,,,,,,,,,,,,,,,,,,,,,,,,-1434.59,-610.974,1351.74,-1674.19,-642.515,826.876,,,,,,
446,0,-1564,-31.5975,780.362,-1471.61,-37.0959,791.818,-1543.84,-442.148,1048.11,-1615.42,-461.119,1065.92,-1532.68,-821.748,1054.47,,,,,,,,,,,,,,,,,,,,,,,,,-1434.52,-610.891,1351.69,-1674.11,-642.432,826.717,,,,,,
447,0,-1564,-31.6243,780.308,-1471.7,-37.278,791.658,-1543.86,-442.216,1048.1,-1615.53,-461.185,1065.97,-1532.67,-821.744,1054.47,,,,,,,,,,,,,,,,,,,,,,,,,-1434.52,-610.891,1351.71,-1674.04,-642.388,826.603,,,,,,
448,0,-1564.02,-31.7303,780.292,-1471.71,-37.3228,791.597,-1543.89,-442.163,1048.08,-1615.49,-461.159,1065.88,-1532.63,-821.776,1054.5,,,,,,,,,,,,,,,,,,,,,,,,,-1434.48,-610.832,1351.68,-1674.14,-642.487,826.618,,,,,,
449,0,-1564.01,-31.7515,780.225,-1471.8,-37.4172,791.594,-1543.7,-441.639,1047.81,-1615.58,-461.194,1065.91,-1532.68,-821.724,1054.51,,,,,,,-1418.94,-1255.89,795.264,,,,,,,,,,,,,,,,-1434.46,-610.784,1351.7,-1674.15,-642.446,826.502,,,,,,
450,0,-1564.3,-31.9077,780.274,-1471.95,-37.4544,791.547,-1543.67,-441.598,1047.78,-1615.5,-461.067,1065.8,-1532.7,-821.748,1054.54,,,,,,,-1418.71,-1255.78,795.322,,,,,,,,,,,,,,,,-1434.47,-610.714,1351.65,-1674.19,-642.444,826.431,,,,,,
451,0,-1564.4,-31.9747,780.363,-1472.02,-37.4188,791.497,-1543.74,-441.601,1047.77,-1615.56,-461.079,1065.82,-1532.71,-821.757,1054.54,,,,,,,-1418.42,-1255.72,795.334,,,,,,,,,,,,,,,,-1434.52,-610.697,1351.64,-1674.3,-642.501,826.495,,,,,,
