time,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,joy_axis_0,joy_axis_1,Euler_angle_0,Euler_angle_1,Euler_angle_2,odom_pos_x,odom_pos_y,odom_pos_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z
1750345066.4689875,-0.109375,0.70184326171875,0.0140380859375,0.7037353515625,-9.71,-1.31,-0.08,0.12,-0.13,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345066.6226864,-0.11260986328125,0.70196533203125,0.01318359375,0.703125,-9.7,-1.37,-0.1,0.08,-0.06,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345066.7704403,-0.1151123046875,0.703125,0.01165771484375,0.70159912109375,-9.7,-1.42,-0.14,0.11,-0.12,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345066.9184864,-0.1171875,0.7030029296875,0.010498046875,0.701416015625,-9.69,-1.46,-0.15,0.05,-0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345067.0693252,-0.1182861328125,0.702392578125,0.0091552734375,0.7017822265625,-9.68,-1.5,-0.14,0.05,-0.14,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345067.2181287,-0.11962890625,0.7017822265625,0.0078125,0.70220947265625,-9.68,-1.54,-0.13,0.05,-0.11,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345067.3684337,-0.1199951171875,0.70068359375,0.0068359375,0.70330810546875,-9.68,-1.56,-0.1,0.05,-0.08,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345067.5196767,-0.12005615234375,0.69940185546875,0.00628662109375,0.70452880859375,-9.67,-1.57,-0.07,0.02,-0.09,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345067.6686552,-0.12005615234375,0.69903564453125,0.00616455078125,0.70489501953125,-9.67,-1.57,-0.06,0.09,-0.15,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345067.820904,-0.11993408203125,0.6981201171875,0.00579833984375,0.705810546875,-9.67,-1.58,-0.03,0.05,-0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345067.9701555,-0.119873046875,0.69720458984375,0.005615234375,0.70672607421875,-9.67,-1.58,0.0,0.09,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345068.1191022,-0.12005615234375,0.69622802734375,0.00543212890625,0.70770263671875,-9.67,-1.59,0.01,-0.03,-0.15,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345068.270341,-0.120361328125,0.69500732421875,0.0052490234375,0.7088623046875,-9.67,-1.6,0.04,0.07,-0.15,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345068.4211712,-0.1212158203125,0.69390869140625,0.00555419921875,0.70977783203125,-9.67,-1.61,0.07,0.03,-0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345068.5697627,-0.12139892578125,0.69384765625,0.00543212890625,0.70977783203125,-9.67,-1.61,0.07,0.03,-0.1,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345068.7185624,-0.12139892578125,0.69378662109375,0.0050048828125,0.7098388671875,-9.67,-1.62,0.07,0.03,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345068.8688672,-0.12176513671875,0.694091796875,0.0048828125,0.70947265625,-9.67,-1.62,0.06,0.05,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345069.0184128,-0.12225341796875,0.6954345703125,0.0047607421875,0.7081298828125,-9.66,-1.63,0.02,0.09,-0.09,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345069.1687984,-0.12310791015625,0.697021484375,0.00537109375,0.7064208984375,-9.66,-1.63,-0.01,0.05,-0.08,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345069.3183494,-0.1236572265625,0.698974609375,0.00555419921875,0.704345703125,-9.66,-1.63,-0.07,0.05,-0.1,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345069.4684744,-0.12469482421875,0.699951171875,0.0062255859375,0.70318603515625,-9.66,-1.63,-0.1,0.05,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345069.619397,-0.1256103515625,0.70001220703125,0.0068359375,0.7030029296875,-9.66,-1.63,-0.11,0.06,-0.14,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345069.7698314,-0.12579345703125,0.699951171875,0.00701904296875,0.7030029296875,-9.66,-1.63,-0.11,0.13,-0.11,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345069.9186115,-0.125732421875,0.69964599609375,0.00701904296875,0.70330810546875,-9.66,-1.63,-0.1,0.04,-0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345070.0691328,-0.12548828125,0.69915771484375,0.00689697265625,0.70379638671875,-9.66,-1.63,-0.08,0.05,-0.1,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345070.2191012,-0.1253662109375,0.698974609375,0.0068359375,0.70404052734375,-9.66,-1.63,-0.08,0.07,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345070.3686738,-0.125,0.697998046875,0.00665283203125,0.70501708984375,-9.66,-1.63,-0.05,0.01,-0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345070.518683,-0.12445068359375,0.69659423828125,0.00634765625,0.70654296875,-9.66,-1.63,-0.01,0.06,-0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345070.668122,-0.12451171875,0.69580078125,0.00653076171875,0.70733642578125,-9.66,-1.63,0.0,0.04,-0.04,-0.02,0.0,0.0,0.01544352900236845,-0.19793416559696198,0.059320028871297836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345070.817978,-0.12432861328125,0.69537353515625,0.0064697265625,0.707763671875,-9.66,-1.63,0.01,0.1,-0.11,-0.06,0.0,0.0,0.03684855252504349,-0.3229743540287018,0.08965831249952316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345070.968288,-0.12420654296875,0.69451904296875,0.0064697265625,0.7086181640625,-9.66,-1.63,0.04,0.09,-0.13,0.01,0.0,0.0,0.05313950031995773,-0.39242827892303467,0.07578596472740173,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345071.1182597,-0.124267578125,0.69403076171875,0.00665283203125,0.7091064453125,-9.66,-1.63,0.05,0.02,-0.14,0.0,0.0,0.0,0.07566515356302261,-0.5297640562057495,0.07741816341876984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1750345071.2704258,-0.124267578125,0.69403076171875,0.00665283203125,0.7091064453125,-9.66,-1.63,0.05,0.11,-0.14,-0.03,0.0,0.0,0.09247451275587082,-0.6057408452033997,0.10356582701206207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
