time,O_x,O_y,O_z,L_x,L_y,L_z,A_x,A_y,A_z,G_x,G_y,G_z,M_x,M_y,M_z,Q_w,Q_x,Q_y,Q_z,T,D1,D2
1749724377.9342253,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,78,87
1749724378.0596366,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,78,87
1749724378.195083,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0,77,87
1749724378.3266854,359.88,5.63,-87.62,-0.04,-0.71,-0.10,0.90,9.06,0.23,0.00,0.01,-0.00,-20.37,-38.25,-20.19,0.7213,0.6893,-0.0679,0.0006,32,77,87
1749724378.468415,359.88,5.69,-87.62,-0.16,-0.68,-0.07,0.81,9.06,0.32,-0.04,0.01,0.00,-21.56,-37.88,-20.56,0.7213,0.6893,-0.0682,0.0006,32,77,87
1749724378.6020713,359.81,5.69,-87.56,-0.23,-0.57,-0.02,0.74,9.16,0.38,-0.02,-0.02,0.01,-21.56,-39.06,-21.37,0.7218,0.6887,-0.0684,0.0008,32,77,87
1749724378.7371566,359.75,5.75,-87.44,0.01,-0.77,0.16,1.00,8.96,0.60,-0.08,-0.02,0.01,-12.25,-22.56,-11.69,0.7228,0.6876,-0.0688,0.0012,32,77,87
1749724378.860654,359.63,5.94,-87.31,0.11,-0.75,-0.06,1.13,8.99,0.38,-0.02,0.01,0.02,-12.69,-23.50,-11.75,0.7232,0.6871,-0.0696,0.0022,32,76,87
1749724378.998101,359.50,6.00,-87.31,-0.17,-0.56,0.02,0.92,9.09,0.55,-0.01,-0.02,0.02,-13.06,-22.69,-12.56,0.7232,0.6870,-0.0701,0.0030,32,77,87
1749724379.125966,359.44,6.13,-87.25,0.00,-0.78,0.00,1.05,8.95,0.45,0.01,-0.00,0.01,-12.69,-23.00,-12.19,0.7234,0.6868,-0.0707,0.0033,32,77,87
1749724379.2675402,359.31,6.19,-87.25,-0.18,-0.62,-0.10,0.87,9.11,0.35,-0.02,0.04,0.02,-13.06,-22.56,-12.56,0.7235,0.6866,-0.0710,0.0043,32,77,87
1749724379.3962998,359.19,6.31,-87.25,-0.06,-0.76,-0.10,1.01,8.96,0.36,-0.00,-0.02,0.02,-13.38,-23.37,-11.69,0.7238,0.6863,-0.0717,0.0048,32,76,88
1749724379.5302186,359.19,6.31,-87.19,-0.05,-0.68,-0.10,1.02,9.05,0.36,0.01,0.03,0.01,-13.38,-23.75,-11.69,0.7239,0.6862,-0.0718,0.0049,32,76,87
1749724379.6636498,359.19,6.31,-87.25,-0.07,-0.74,-0.07,1.01,8.99,0.39,0.02,-0.00,0.00,-13.06,-23.00,-12.50,0.7237,0.6863,-0.0718,0.0049,32,76,87
1749724379.802681,359.19,6.31,-87.25,-0.06,-0.66,-0.13,1.01,9.04,0.39,-0.01,0.00,-0.01,-13.38,-23.00,-13.69,0.7234,0.6866,-0.0718,0.0049,32,76,87
1749724379.9352741,359.19,6.31,-87.25,-0.09,-0.67,0.00,0.99,9.05,0.45,0.01,0.00,0.00,-13.75,-23.06,-12.50,0.7235,0.6866,-0.0715,0.0049,32,76,87
1749724380.0606437,359.19,6.31,-87.31,0.00,-0.74,-0.20,1.07,8.98,0.24,0.05,0.00,0.00,-13.25,-23.06,-12.50,0.7232,0.6869,-0.0715,0.0048,32,76,87
